class,correct,total,accuracy_percent
airplane,911,1000,91.1000
automobile,959,1000,95.9000
bird,872,1000,87.2000
cat,803,1000,80.3000
deer,923,1000,92.3000
dog,858,1000,85.8000
frog,934,1000,93.4000
horse,935,1000,93.5000
ship,944,1000,94.4000
truck,936,1000,93.6000
