epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.5652162946489123,43.10666666666667,1.1347750690460205,58.2,0.1
2,1.0043974022971258,64.04444444444445,1.0131442106246948,63.18,0.09990133642141358
3,0.8050072202576531,71.80888888888889,0.8444130995750427,70.92,0.0996057350657239
4,0.6929510523054335,75.93555555555555,0.832140814781189,69.94,0.09911436253643444
5,0.6216107709354824,78.2911111111111,0.9187815345883369,69.38,0.09842915805643154
6,0.5729725408766004,80.46666666666667,0.9690206186294555,70.12,0.09755282581475767
7,0.541406363746855,81.57111111111111,0.7185973784923554,75.02,0.09648882429441256
8,0.5126607789887322,82.5,0.6439744899392128,78.18,0.09524135262330098
9,0.4930264199680752,83.27777777777777,0.8431604484558105,73.28,0.09381533400219318
10,0.47238931040234033,83.99333333333334,0.6288129919052124,78.6,0.09221639627510075
11,0.45540772468778823,84.66,0.5639517011404037,80.92,0.09045084971874737
12,0.43507291987207203,85.14,0.49750949940681455,82.9,0.08852566213878946
13,0.42666300780508254,85.47333333333333,0.5510439248561859,81.44,0.08644843137107057
14,0.4101662496407827,86.14888888888889,0.5229113987445831,82.6,0.08422735529643442
15,0.3965983411682977,86.49111111111111,0.7969628953814506,76.4,0.08187119948743447
16,0.39242125056584676,86.72666666666667,0.48106340703964234,83.44,0.07938926261462366
17,0.3776335122532315,87.15333333333334,0.7601809825897217,77.7,0.07679133974894982
18,0.37239628216955395,87.24888888888889,0.5408342110157013,81.68,0.07408768370508576
19,0.3556940861940384,87.85555555555555,0.5431109987974166,82.36,0.07128896457825362
20,0.34689710047509936,88.40222222222222,0.5186051671028137,82.52,0.06840622763423389
21,0.34075907424290974,88.28,0.5677320937156677,81.58,0.06545084971874736
22,0.3272305187066396,88.86666666666666,0.41659621504545213,85.72,0.06243449435824272
23,0.3148182732317183,89.28,0.4899107105195522,83.04,0.05936906572928623
24,0.306498048014111,89.51777777777778,0.4379993654429913,85.14,0.056266661678215216
25,0.2954448035346137,90.05333333333333,0.5210879104733467,82.48,0.053139525976465665
26,0.2831930094824897,90.24444444444444,0.4511677617430687,85.22,0.049999999999999996
27,0.2732745387501187,90.64,0.45659853267669676,85.0,0.046860474023534326
28,0.25908670105404324,91.21555555555555,0.4824445611000061,84.52,0.04373333832178478
29,0.25272000359429253,91.42222222222222,0.36110342665314676,87.66,0.040630934270713764
30,0.23208422920438979,92.01333333333334,0.40076327958106994,86.56,0.03756550564175726
31,0.22433358313242593,92.32222222222222,0.4856568769454956,85.2,0.03454915028125265
32,0.2085677103890313,92.88222222222223,0.3540943240404129,88.88,0.03159377236576612
33,0.19246575423346626,93.42666666666666,0.39718810933232307,87.4,0.028711035421746366
34,0.18087112691137525,93.94222222222223,0.4598451887190342,85.72,0.025912316294914226
35,0.16476253226068285,94.4,0.39446426861286166,88.1,0.023208660251050155
36,0.15190924990442065,94.8,0.351239870595932,88.7,0.020610737385376346
37,0.1377342741118537,95.42888888888889,0.3384208948791027,89.04,0.01812880051256551
38,0.12071058142450121,95.91111111111111,0.3289071677416563,89.94,0.015772644703565562
39,0.1058523618751102,96.48444444444445,0.30882740495502947,90.36,0.013551568628929433
40,0.09557968125873142,96.87555555555555,0.3047204638224095,90.54,0.011474337861210542
41,0.07969975197182762,97.46,0.2798431948456913,91.28,0.009549150281252632
42,0.07069285604291492,97.80666666666667,0.2708386156756431,91.58,0.007783603724899257
43,0.05913075505627526,98.2911111111111,0.2578918810918927,92.26,0.0061846659978068205
44,0.0507797654721472,98.61555555555556,0.25504692963659764,92.18,0.004758647376699033
45,0.04540129290156894,98.77333333333333,0.24935412280000746,92.66,0.0035111757055874327
46,0.04068998806873957,98.91333333333333,0.24770719428895974,92.54,0.0024471741852423235
47,0.03787010288271639,99.0911111111111,0.2437363975821063,92.68,0.0015708419435684518
48,0.034400353595283296,99.27111111111111,0.24318463961379602,92.6,0.000885637463565564
49,0.03419430400861634,99.22888888888889,0.23947145753102378,92.68,0.00039426493427611173
50,0.03415725431044896,99.18888888888888,0.24123324794350193,92.66,9.866357858642205e-05
