class,correct,total,accuracy_percent
airplane,929,1000,92.9000
automobile,950,1000,95.0000
bird,898,1000,89.8000
cat,814,1000,81.4000
deer,944,1000,94.4000
dog,887,1000,88.7000
frog,942,1000,94.2000
horse,934,1000,93.4000
ship,961,1000,96.1000
truck,947,1000,94.7000
