epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.0211039204279584,20.13111111111111,1.8261939376831056,26.26
2,1.6119913549635145,37.413333333333334,1.4453371026992798,43.72
3,1.3250330958684287,50.611111111111114,1.2407704203605652,55.94
4,1.1136154857211642,60.24444444444445,1.1735744115829467,59.3
5,0.9852973713344998,65.27555555555556,1.1247165103435517,60.3
