step,epoch,loss,gradient_norm,gradient_change,parameter_distance,gradient_change_per_distance,gradient_cosine_similarity
0,1,2.30279541015625,0.017630314454436302,0.0,0.0,nan,1.0
1,1,2.4447097778320312,0.6049413084983826,0.6155514121055603,0.059816740453243256,10.290621111103777,-0.5925210118293762
2,1,2.3034515380859375,0.014440296217799187,0.6093037128448486,0.04421068727970123,13.781819517757251,-0.2912544012069702
3,1,2.303192138671875,0.009673327207565308,0.018340658396482468,0.0368867926299572,0.4972147776705125,-0.12271972745656967
4,1,2.3030548095703125,0.007552551105618477,0.013486026786267757,0.03183789923787117,0.4235840651893933,-0.21392939984798431
5,1,2.3028411865234375,0.007927901111543179,0.009417297318577766,0.02754293754696846,0.341913323606773,0.26059871912002563
6,1,2.3031768798828125,0.013402542099356651,0.018998602405190468,0.025070689618587494,0.7578013486755003,-0.557470977306366
7,1,2.3027496337890625,0.010169435292482376,0.015431475825607777,0.021489299833774567,0.7181004474307835,0.16477014124393463
8,1,2.2989349365234375,0.016121407970786095,0.019195841625332832,0.02006099559366703,0.9568738269098013,-0.015746306627988815
9,1,2.2953948974609375,0.02164321392774582,0.021393170580267906,0.01893947273492813,1.1295547072339913,0.38785621523857117
10,1,2.30218505859375,0.07066839933395386,0.08798081427812576,0.01849384419620037,4.757302664861951,-0.744748055934906
11,1,2.2881317138671875,0.09464702755212784,0.12478550523519516,0.016283394768834114,7.663359330575866,-0.12105295062065125
12,1,2.2753067016601562,0.10787975788116455,0.10595615953207016,0.018274882808327675,5.797911846733542,0.45881184935569763
13,1,2.300323486328125,0.29761943221092224,0.332101047039032,0.019895480945706367,16.692285446394425,-0.1569080799818039
14,1,2.272369384765625,0.07434546202421188,0.2843589782714844,0.018774382770061493,15.146115947147752,0.29928937554359436
15,1,2.2760086059570312,0.10366383194923401,0.08800425380468369,0.01882310025393963,4.675332576325444,0.553312361240387
16,1,2.26580810546875,0.23322436213493347,0.2330685704946518,0.01864842139184475,12.498032171054241,0.22374287247657776
17,1,2.2880630493164062,0.45469197630882263,0.33322873711586,0.018740123137831688,17.781566036946327,0.7077028155326843
18,1,2.2348785400390625,0.25302761793136597,0.664604663848877,0.018454143777489662,36.01384447104833,-0.7428602576255798
19,1,2.2411727905273438,0.13639329373836517,0.23093225061893463,0.01743658445775509,13.24412193101415,0.4244471490383148
