epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7219519989861383,32.49333333333333,1.4716368847846986,42.2
2,1.2523798636754353,54.25555555555555,1.140295787715912,58.84
3,0.9476297010951572,66.36444444444444,0.9423840926170349,66.72
4,0.7748015786700778,72.85111111111111,0.8406309747219086,71.36
5,0.655003501256307,77.2911111111111,0.8093937161445618,72.32
6,0.546563854042689,81.17555555555556,0.8624889953970909,72.38
7,0.45997449467976886,84.19555555555556,0.8226929262161254,73.9
8,0.3771351177798377,87.01777777777778,0.8743692103862762,74.44
9,0.3222474458323585,88.93555555555555,0.8962036141753197,73.56
10,0.2628087208588918,91.15333333333334,0.9614176814556121,74.8
11,0.20790344845718808,92.97333333333333,0.9355518569350243,74.76
12,0.18627384125921462,93.72444444444444,1.0736992451429368,73.88
13,0.15157102868821887,94.85777777777778,1.2054165305376052,74.04
14,0.14045985939237807,95.43333333333334,1.2083323080658912,74.2
15,0.13480017638206482,95.67555555555556,1.2590188301563263,74.08
16,0.1197912175072564,96.01777777777778,1.2564525810956955,74.08
17,0.10826395095454322,96.35333333333334,1.3969159871816634,75.24
18,0.1038344351278411,96.68888888888888,1.3684906341075898,74.26
19,0.09517214534944958,96.95111111111112,1.2559443265914918,74.46
20,0.08929185477362739,97.17555555555556,1.5299563478469849,74.4
