epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.4949580387327406,44.34444444444444,1.135876790046692,59.18,0.001
2,1.0770699379814996,61.25111111111111,1.1917844247817992,58.42,0.0009972609476841367
3,0.9090250896771749,67.42222222222222,0.916438763999939,66.18,0.0009890738003669028
4,0.8118732352256774,71.3711111111111,0.8090714746475219,71.28,0.0009755282581475768
5,0.7302743197864956,74.5111111111111,0.8826048497915268,70.34,0.0009567727288213003
6,0.6741892303254869,77.05777777777777,0.7304063772201538,74.82,0.0009330127018922195
7,0.6301450191126929,78.38,0.63228115670681,77.58,0.0009045084971874739
8,0.5923843125661215,79.63333333333334,0.6338118517756463,77.86,0.0008715724127386972
9,0.5666259498437246,80.69333333333333,0.6104970005989074,78.84,0.0008345653031794292
10,0.533529809999466,81.84222222222222,0.5505098866343499,80.66,0.0007938926261462366
11,0.5065832861105601,82.55777777777777,0.6758069898605347,77.74,0.00075
12,0.4855673384560479,83.42666666666666,0.5268904279112816,81.8,0.0007033683215379003
13,0.46107153341505264,84.30888888888889,0.5011791692972183,82.98,0.0006545084971874739
14,0.43959360507329304,85.09555555555555,0.5182047388553619,82.2,0.0006039558454088797
15,0.42405659773614673,85.82666666666667,0.5648002358615398,81.1,0.0005522642316338269
16,0.402145872396893,86.33111111111111,0.46784839746952056,84.12,0.0005000000000000002
17,0.3877769431008233,86.91333333333333,0.43239864268898964,84.92,0.0004477357683661734
18,0.3685351233376397,87.56222222222222,0.430078262719512,84.96,0.00039604415459112036
19,0.3549826253467136,87.86222222222223,0.41749676918387413,85.94,0.0003454915028125264
20,0.33845713458061216,88.43333333333334,0.383717148450017,86.98,0.0002966316784621
21,0.31939257787068687,89.20666666666666,0.3947085586965084,86.58,0.00025000000000000017
22,0.3092853674199846,89.68222222222222,0.39557796916365623,86.88,0.00020610737385376354
23,0.29812297332021925,89.85777777777778,0.37397581495046617,87.4,0.00016543469682057108
24,0.28458887377315095,90.25555555555556,0.35924438844919204,87.88,0.00012842758726130298
25,0.2746783483558231,90.63111111111111,0.3662961056470871,87.66,9.549150281252637e-05
26,0.26444585603608023,90.98222222222222,0.357036556494236,88.16,6.698729810778068e-05
27,0.26126618416574265,91.14666666666666,0.3528748786911368,88.08,4.322727117869953e-05
28,0.25645299863285487,91.36222222222223,0.35043768930733205,88.14,2.447174185242324e-05
29,0.2501850149790446,91.63333333333334,0.34772539267241953,88.34,1.092619963309716e-05
30,0.2515835034370422,91.61777777777777,0.34982380439937116,88.28,2.7390523158633003e-06
