class,correct,total,accuracy_percent
airplane,893,1000,89.3000
automobile,952,1000,95.2000
bird,831,1000,83.1000
cat,764,1000,76.4000
deer,890,1000,89.0000
dog,807,1000,80.7000
frog,910,1000,91.0000
horse,889,1000,88.9000
ship,930,1000,93.0000
truck,925,1000,92.5000
