step,epoch,loss,gradient_norm,gradient_change,parameter_distance,gradient_change_per_distance,gradient_cosine_similarity
0,1,2.3028149604797363,0.017632748931646347,0.0,0.0,nan,1.0
1,1,2.446910858154297,0.6126834154129028,0.623292088508606,0.059811078011989594,10.421014120221379,-0.5924675464630127
2,1,2.303422451019287,0.014387823641300201,0.6170900464057922,0.04441545903682709,13.893587048017041,-0.2956378757953644
3,1,2.30346417427063,0.01012447103857994,0.018553903326392174,0.03673053905367851,0.5051356120659499,-0.11921855807304382
4,1,2.3030691146850586,0.006718831602483988,0.01328696496784687,0.03138984367251396,0.42328866325261116,-0.21239234507083893
5,1,2.302859306335449,0.005911984946578741,0.007769840303808451,0.026901574805378914,0.28882473832925526,0.24827603995800018
6,1,2.3026952743530273,0.009507039561867714,0.013697413727641106,0.02437910996377468,0.56185044277639,-0.554072380065918
7,1,2.302766799926758,0.007834547199308872,0.011242391541600227,0.021132875233888626,0.5319858948285445,0.17032365500926971
8,1,2.299395799636841,0.014552821405231953,0.016743727028369904,0.019704945385456085,0.849722072344752,-0.03152061253786087
9,1,2.2954530715942383,0.020070819184184074,0.019656481221318245,0.01902744546532631,1.0330593908224952,0.3907141089439392
10,1,2.3041088581085205,0.06704390048980713,0.08328542113304138,0.018741220235824585,4.443970034237045,-0.7575433254241943
11,1,2.2892019748687744,0.07778726518154144,0.11014461517333984,0.01655730977654457,6.65232556857594,-0.15206559002399445
12,1,2.2799625396728516,0.08948113024234772,0.08686713129281998,0.01804136484861374,4.814886901391757,0.467771053314209
13,1,2.2995409965515137,0.24340200424194336,0.27058088779449463,0.019621185958385468,13.790241240685914,-0.13688351213932037
14,1,2.2727861404418945,0.07542473077774048,0.22731222212314606,0.01944129914045334,11.692234170202966,0.36121001839637756
15,1,2.2683238983154297,0.12254538387060165,0.11204151809215546,0.019640637561678886,5.704576429370153,0.44103652238845825
16,1,2.2516512870788574,0.3454548716545105,0.35600394010543823,0.019186845049262047,18.554584622505754,0.08997070044279099
17,1,2.247443437576294,0.3034800589084625,0.25334662199020386,0.01926245726644993,13.15235218880751,0.7022919058799744
18,1,2.2449440956115723,0.23547500371932983,0.4855959713459015,0.019747037440538406,24.590826487674985,-0.6174953579902649
19,1,2.188206195831299,0.21765480935573578,0.23702415823936462,0.01881234534084797,12.599394384107171,0.4550202488899231
20,1,2.670802593231201,2.780724048614502,2.9076032638549805,0.019397340714931488,149.8970042639296,-0.5571005940437317
21,1,2.2388150691986084,0.2252853959798813,2.662993907928467,0.01927323453128338,138.17057555160366,0.5520278215408325
22,1,2.2784149646759033,0.07429506629705429,0.24590638279914856,0.01941530406475067,12.665595242755034,-0.12536732852458954
23,1,2.2835633754730225,0.05641266331076622,0.0733284056186676,0.018215419724583626,4.025622616848252,0.3966767191886902
24,1,2.3048834800720215,0.02532753348350525,0.05509541183710098,0.016905132681131363,3.2590937247476113,0.2758857011795044
25,1,2.3094260692596436,0.026360293850302696,0.03167895972728729,0.01564609259366989,2.024720200115906,0.2492300271987915
26,1,2.302781581878662,0.01797635108232498,0.02919665537774563,0.01417210791260004,2.0601491011642428,0.17470240592956543
27,1,2.3066935539245605,0.021177398040890694,0.025965038686990738,0.01347215287387371,1.9273117615332471,0.12798801064491272
28,1,2.2980804443359375,0.024695489555597305,0.028951508924365044,0.012770317494869232,2.267093902402738,0.21048301458358765
29,1,2.2986035346984863,0.04222256317734718,0.05234316736459732,0.012885394506156445,4.062209142264798,-0.16648748517036438
30,1,2.306948661804199,0.054256319999694824,0.08557900786399841,0.012690616771578789,6.7434868930607434,-0.5668818950653076
31,1,2.295706033706665,0.048368439078330994,0.041553594172000885,0.011062532663345337,3.756246009531327,0.6776209473609924
32,1,2.318309783935547,0.04937015473842621,0.07545638829469681,0.011987897567451,6.2943804674785175,-0.19195283949375153
33,1,2.3053691387176514,0.026121046394109726,0.04882197454571724,0.011733918450772762,4.160756251250575,0.2854125499725342
34,1,2.299450397491455,0.011348566971719265,0.024522854015231133,0.011373361572623253,2.1561658669376995,0.3537496328353882
35,1,2.300227642059326,0.019509432837367058,0.027061380445957184,0.010596441105008125,2.553817850520336,-0.5034015774726868
36,1,2.301936626434326,0.04807897284626961,0.057635992765426636,0.010658325627446175,5.407602918136468,-0.3356646001338959
37,1,2.2860140800476074,0.04898298159241676,0.06387923657894135,0.011206338182091713,5.700277427021036,0.13383212685585022
38,1,2.2867918014526367,0.0787448137998581,0.08942229300737381,0.011808592826128006,7.572645981112641,0.07826138287782669
39,1,2.320415735244751,0.1708691120147705,0.17923057079315186,0.012837564572691917,13.961415327515574,0.12164214253425598
40,1,2.3338851928710938,0.17491237819194794,0.21902711689472198,0.013925894163548946,15.728046926281104,0.19770599901676178
41,1,2.2811074256896973,0.09815610200166702,0.18781040608882904,0.014972194097936153,12.54394678965041,0.14433829486370087
42,1,2.270819664001465,0.07383618503808975,0.11230423301458359,0.015188652090728283,7.393956510672745,0.1706913560628891
43,1,2.3151750564575195,0.159877210855484,0.18746955692768097,0.014673818834125996,12.775785161780421,-0.17502887547016144
44,1,2.2662014961242676,0.09234870970249176,0.20532344281673431,0.015056549571454525,13.636819102698256,-0.27324798703193665
45,1,2.267794132232666,0.07703201472759247,0.09871211647987366,0.014908657409250736,6.6211271592184655,0.3316180408000946
46,1,2.257023572921753,0.0813293606042862,0.1061306893825531,0.015180201269686222,6.9913888160685005,0.10252837836742401
47,1,2.249711513519287,0.1527036875486374,0.19367918372154236,0.01609060913324356,12.03678382326725,-0.3051196336746216
48,1,2.2676186561584473,0.2951284945011139,0.37042468786239624,0.01580553874373436,23.43638479322574,-0.29728078842163086
49,1,2.21804141998291,0.310718834400177,0.4016496539115906,0.01755482144653797,22.879734501133356,0.12172341346740723
50,1,2.2716898918151855,0.4540134072303772,0.6024863719940186,0.01924850419163704,31.30042552895008,-0.21377795934677124
51,1,2.213839292526245,0.19479477405548096,0.3765983581542969,0.0207892544567585,18.115048759329913,0.5780612826347351
52,1,2.2087349891662598,0.2720986604690552,0.22232627868652344,0.022573333233594894,9.849067321419996,0.5900917053222656
53,1,2.228278636932373,0.4201267659664154,0.5885978937149048,0.024562422186136246,23.963348942317538,-0.419465571641922
54,1,2.1136157512664795,0.37595295906066895,0.6536031365394592,0.023983526974916458,27.2521692586349,-0.34615808725357056
55,1,2.3355019092559814,0.7522278428077698,0.8788702487945557,0.023223452270030975,37.84408272187447,-0.11532016843557358
56,1,2.258932590484619,0.5443949103355408,0.9372011423110962,0.02166111394762993,43.26652565408073,-0.019698407500982285
57,1,2.2152159214019775,0.327993243932724,0.525713324546814,0.021382704377174377,24.585913702665355,0.3572258949279785
58,1,2.1767475605010986,0.15959575772285461,0.3676871955394745,0.0219738706946373,16.73292796927253,-0.020474325865507126
59,1,2.216980218887329,0.11615356057882309,0.1403549611568451,0.021077193319797516,6.659091608037377,0.519563615322113
60,1,2.195932626724243,0.13878731429576874,0.10977865755558014,0.019940700381994247,5.505255856243967,0.6421027183532715
61,1,2.2026546001434326,0.1138438954949379,0.13366645574569702,0.0204777754843235,6.527391407725105,0.45428943634033203
62,1,2.152271270751953,0.18241633474826813,0.12080657482147217,0.020402437075972557,5.92118355133873,0.7618324160575867
63,1,2.181856155395508,0.24604251980781555,0.2435166835784912,0.02140878327190876,11.374615758664728,0.3844762444496155
64,1,2.2107696533203125,0.3904883861541748,0.3945164382457733,0.02101556770503521,18.772580583262066,0.29858899116516113
65,1,2.124999761581421,0.3134646713733673,0.3377229571342468,0.020146816968917847,16.76309253492896,0.5583320260047913
66,1,2.1843385696411133,0.7507002949714661,0.6354287266731262,0.02001328207552433,31.75035080578999,0.5482819676399231
67,1,2.1398873329162598,0.3987368047237396,0.62265545129776,0.023531746119260788,26.46023155876712,0.5593159198760986
68,1,2.137749671936035,0.20004278421401978,0.4666280150413513,0.024186745285987854,19.292716300761793,-0.1174306645989418
69,1,2.077549457550049,0.24590550363063812,0.36939579248428345,0.02215360477566719,16.67429730849112,-0.36557695269584656
70,1,2.158611536026001,0.21165043115615845,0.2021656334400177,0.021210908889770508,9.531210307424267,0.6186303496360779
71,1,2.10056734085083,0.30716079473495483,0.3681163191795349,0.01992015540599823,18.47959072993427,0.02794928103685379
72,1,2.1053359508514404,0.2515992522239685,0.3246247470378876,0.019224930554628372,16.88561350666282,0.33817121386528015
73,1,2.1327621936798096,0.42045608162879944,0.41365015506744385,0.019284818321466446,21.449523048241467,0.3260297179222107
74,1,2.0880560874938965,0.33664894104003906,0.5448142886161804,0.020379452034831047,26.73351018884238,-0.023691192269325256
75,1,2.061084747314453,0.26689857244491577,0.3663368225097656,0.01973573863506317,18.562103465381295,0.28026771545410156
76,1,2.1097412109375,0.32713770866394043,0.37660521268844604,0.017705721780657768,21.270254743292096,0.20857496559619904
77,1,2.1116535663604736,0.4444034695625305,0.5186110138893127,0.018671711906790733,27.7752257788799,0.12228579819202423
78,1,1.9875127077102661,0.3813459277153015,0.5445502996444702,0.016862837597727776,32.29292202386193,0.13684938848018646
79,1,2.022207260131836,0.43412789702415466,0.7012298107147217,0.01791079342365265,39.151242166005396,-0.4766792058944702
80,1,2.157559394836426,0.5036069750785828,0.4131240248680115,0.018570512533187866,22.246237099256486,0.6207194328308105
81,1,1.9568772315979004,0.4230280816555023,0.746585488319397,0.018095476552844048,41.258128026589986,-0.2929430902004242
82,1,2.1313977241516113,0.5760045051574707,0.7022407054901123,0.016732577234506607,41.96847237865562,0.03609857335686684
83,1,2.103794574737549,0.572184145450592,0.9008748531341553,0.016037292778491974,56.173748623105624,-0.23120230436325073
84,1,2.1171798706054688,0.3285985291004181,0.709219217300415,0.01486425194889307,47.713078312913694,-0.1798231303691864
85,1,2.0146048069000244,0.4251197576522827,0.625122606754303,0.015299933031201363,40.85786555271071,-0.36535078287124634
86,1,2.121121883392334,0.7436165809631348,0.9602558016777039,0.012734659016132355,75.4049087974201,-0.2979804277420044
87,1,2.168811559677124,0.35268545150756836,0.6080653071403503,0.011019090190529823,55.182895922109985,0.5864524841308594
88,1,2.0110418796539307,0.28249025344848633,0.5224476456642151,0.011947392486035824,43.72901001409761,-0.3450950086116791
89,1,2.060887336730957,0.2990696430206299,0.3195466697216034,0.010765339247882366,29.682916846718133,0.39731258153915405
90,1,2.1469030380249023,0.24544647336006165,0.3264321982860565,0.012492557987570763,26.1301327246857,0.29376938939094543
91,1,2.1022939682006836,0.190985769033432,0.2983028292655945,0.010621698573231697,28.084286821823692,0.08250327408313751
92,1,2.0459132194519043,0.24561023712158203,0.2938079237937927,0.010597456246614456,27.72438186641769,0.11167439818382263
93,1,2.086050033569336,0.3887992799282074,0.5382751226425171,0.010874904692173004,49.49699679022749,-0.4097197353839874
94,1,2.090806722640991,0.6204833388328552,0.5823293328285217,0.010998890735208988,52.94436928665943,0.4084193706512451
95,1,2.0401957035064697,0.4261239171028137,0.5243610143661499,0.012849543243646622,40.807755141445746,0.551482081413269
96,1,2.0740199089050293,0.403194397687912,0.469926118850708,0.012761027552187443,36.825100245955916,0.35887378454208374
97,1,1.9894366264343262,0.30144965648651123,0.4145928621292114,0.013728879392147064,30.19859453105539,0.3354799449443817
98,1,1.9946162700653076,0.4953613877296448,0.3462774455547333,0.012713519856333733,27.23694535170146,0.7244082093238831
99,1,2.0318288803100586,0.6229889988899231,0.7879401445388794,0.015015245415270329,52.47600839993954,0.020493190735578537
100,1,2.0299875736236572,0.37234652042388916,0.7434506416320801,0.01666855439543724,44.60198671071249,-0.055959753692150116
101,1,2.0891406536102295,0.28674080967903137,0.49218064546585083,0.015728088095784187,31.293100755061047,-0.10012280941009521
102,1,1.9110934734344482,0.3448463976383209,0.37820589542388916,0.014698685146868229,25.73059369902018,0.29378414154052734
103,1,1.995652198791504,0.5580030083656311,0.5605073571205139,0.013469204306602478,41.61399176681569,0.30172187089920044
104,1,2.1020946502685547,0.7830176949501038,0.8689503073692322,0.015385671518743038,56.477892844044206,0.1938650757074356
