step,epoch,loss,gradient_norm,gradient_change,parameter_distance,gradient_change_per_distance,gradient_cosine_similarity
0,1,2.4330801963806152,2.328108310699463,0.0,0.0,nan,1.0
1,1,5.2553863525390625,14.244908332824707,15.351258277893066,0.13445812463760376,114.17129548153609,-0.41195234656333923
2,1,4.539941787719727,8.201953887939453,18.34124183654785,0.09317078441381454,196.85614918820383,-0.2833528518676758
3,1,3.645129680633545,5.47097635269165,9.891735076904297,0.07615755498409271,129.88514506499607,-0.007162273395806551
4,1,3.6251235008239746,5.811163902282715,7.433680057525635,0.0643218606710434,115.57004072912571,0.13276006281375885
5,1,2.865624189376831,3.2823565006256104,6.673463821411133,0.05542881786823273,120.39700787549751,0.0002194332191720605
6,1,2.469928741455078,2.0228803157806396,2.5406482219696045,0.049995306879282,50.81773431462717,0.6333773136138916
7,1,2.4911186695098877,1.8792814016342163,2.6850545406341553,0.04711822792887688,56.985473746744894,0.054480984807014465
8,1,2.491941213607788,2.4483275413513184,2.1933162212371826,0.04400860518217087,49.83834893557947,0.5124181509017944
9,1,2.409238338470459,1.6669670343399048,1.5132520198822021,0.04018694907426834,37.65530986404578,0.7942548990249634
10,1,2.2709901332855225,1.261579155921936,2.1093287467956543,0.03671608492732048,57.44971858985162,-0.01876024715602398
11,1,2.318782091140747,1.380353331565857,1.6167389154434204,0.03157198429107666,51.20802356095074,0.2535604238510132
12,1,2.2766573429107666,0.9960331320762634,1.3272243738174438,0.029595937579870224,44.844815956097975,0.41310328245162964
13,1,2.379314422607422,2.0033631324768066,2.1548616886138916,0.027283569797873497,78.9801959412893,0.09073741734027863
14,1,2.2962663173675537,1.5814417600631714,0.9963841438293457,0.02461094781756401,40.48540313097002,0.8714155554771423
15,1,2.3230650424957275,1.262995719909668,2.3068490028381348,0.02379065565764904,96.96449883660307,-0.30676478147506714
16,1,2.3042116165161133,1.8992952108383179,1.4896857738494873,0.022474078461527824,66.28462103127391,0.621834933757782
17,1,2.292395830154419,1.277652382850647,1.418630599975586,0.021534277126193047,65.87779063407919,0.6649537682533264
18,1,2.2708961963653564,1.4227811098098755,2.4180009365081787,0.021084360778331757,114.68220269656648,-0.6023772358894348
19,1,2.291384220123291,1.3129792213439941,1.3731638193130493,0.018035421147942543,76.13705319377574,0.4985438585281372
20,1,2.2501742839813232,1.1256396770477295,1.6228678226470947,0.01837341859936714,88.32693893465166,0.12087038904428482
21,1,2.2408525943756104,0.7169294357299805,1.0478931665420532,0.01659504882991314,63.1449281820244,0.423152893781662
22,1,2.2636091709136963,0.5739407539367676,1.0831106901168823,0.017232688143849373,62.85210299609943,-0.40067237615585327
23,1,2.2151832580566406,0.8853146433830261,1.3270127773284912,0.015863483771681786,83.65203989412261,-0.6374236345291138
24,1,2.250171661376953,0.7432144284248352,1.22125244140625,0.015385730192065239,79.37565693411658,-0.11801902949810028
25,1,2.1624598503112793,0.5064301490783691,0.6971203088760376,0.013938190415501595,50.01512306079012,0.4288976788520813
