class,correct,total,accuracy_percent
airplane,910,1000,91.0000
automobile,955,1000,95.5000
bird,868,1000,86.8000
cat,783,1000,78.3000
deer,901,1000,90.1000
dog,842,1000,84.2000
frog,928,1000,92.8000
horse,925,1000,92.5000
ship,934,1000,93.4000
truck,946,1000,94.6000
