epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.3342450863732231,50.715555555555554,1.2184294308662416,57.58,0.001
2,0.9023398089938693,67.9088888888889,1.0647351669311524,63.36,0.0009972609476841367
3,0.7218246735890707,74.88222222222223,1.2605905088424683,60.66,0.0009890738003669028
4,0.6173823131137424,78.54666666666667,0.7368069626808167,73.78,0.0009755282581475768
5,0.5493055437193977,80.90222222222222,0.6515959021091461,77.78,0.0009567727288213003
6,0.4971280454741584,83.00666666666666,0.6007796122550965,79.46,0.0009330127018922195
7,0.4530021128018697,84.29333333333334,0.6186720220088959,78.86,0.0009045084971874739
8,0.4182719249619378,85.37777777777778,0.6464737123012543,78.98,0.0008715724127386972
9,0.38654750584496395,86.77333333333333,0.5259101564884185,81.88,0.0008345653031794292
10,0.356024517109659,87.53777777777778,0.44812055037021636,85.02,0.0007938926261462366
11,0.33077148116694555,88.57111111111111,0.500018262910843,84.34,0.00075
12,0.30876847416030034,89.4,0.45756365934610366,85.18,0.0007033683215379003
13,0.28318450131416323,90.25777777777778,0.5004787568688392,84.46,0.0006545084971874739
14,0.2633512366453807,90.82,0.46307335114479065,84.46,0.0006039558454088797
15,0.2389933395491706,91.63555555555556,0.40634458579421046,86.5,0.0005522642316338269
16,0.2213411247147454,92.24222222222222,0.35636082903146743,87.74,0.0005000000000000002
17,0.2073920356856452,92.93111111111111,0.3711670877933502,87.56,0.0004477357683661734
18,0.1865495496643914,93.60444444444444,0.37285171521008015,88.26,0.00039604415459112036
19,0.17182010643747117,94.02222222222223,0.3468438798010349,88.4,0.0003454915028125264
20,0.15623532125155132,94.54666666666667,0.3438072055220604,88.76,0.0002966316784621
21,0.14417220840983921,95.0111111111111,0.34432802331447604,89.06,0.00025000000000000017
22,0.13337693508466084,95.46888888888888,0.3410712419331074,89.3,0.00020610737385376354
23,0.12034286907911301,95.91777777777777,0.3287531110942364,89.56,0.00016543469682057108
24,0.10989773946868049,96.28888888888889,0.31259162156283854,89.92,0.00012842758726130298
25,0.10565370050006442,96.48444444444445,0.32117432410120966,90.0,9.549150281252637e-05
26,0.09738426555792491,96.78444444444445,0.3184609488964081,89.88,6.698729810778068e-05
27,0.09393705462084877,96.99777777777778,0.3124016182795167,90.14,4.322727117869953e-05
28,0.09015170412196054,97.06444444444445,0.3113653704240918,90.36,2.447174185242324e-05
29,0.08727995182408227,97.25333333333333,0.31229062499403953,90.16,1.092619963309716e-05
30,0.08818579553233252,97.14444444444445,0.3136426910996437,90.2,2.7390523158633003e-06
