epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.452399432373047,45.74666666666667,1.4111513242721558,50.7
2,0.9409464298248291,66.42444444444445,0.9449457494735718,67.3
3,0.7257327859242757,74.7311111111111,0.8675063088417053,71.24
4,0.582154623720381,79.9088888888889,0.7504061236381531,74.62
5,0.4724159168243408,83.82888888888888,0.7678585456848145,74.46
6,0.3802771858003404,87.00888888888889,0.6933350015640258,78.32
7,0.3047678254445394,89.74,0.6403976468086243,79.04
8,0.23220693723890518,92.17777777777778,0.6773144811868668,80.12
9,0.18910975533591376,93.66666666666667,0.712894214439392,80.16
10,0.14785120472378202,94.96,0.7998149744033813,79.9
11,0.11699310672283172,96.11333333333333,0.7801528979301453,80.24
12,0.09974530366394255,96.57777777777778,0.6934716802597046,82.88
13,0.08262790047857496,97.13555555555556,0.8753053359270095,80.78
14,0.0759068707757526,97.4888888888889,0.7749839684188365,81.8
15,0.06652088145679898,97.74222222222222,0.8553076768904925,80.74
16,0.06406292405492729,97.7911111111111,0.8415955725669861,81.48
17,0.050356088446908524,98.28444444444445,0.9496737615287304,80.7
18,0.056602746082676784,98.12444444444445,0.9358535113334656,80.94
19,0.047252719945377775,98.42,0.9320922644615174,81.18
20,0.04654271767040094,98.43333333333334,0.9328498291254044,82.34
