class,correct,total,accuracy_percent
airplane,917,1000,91.7000
automobile,951,1000,95.1000
bird,866,1000,86.6000
cat,805,1000,80.5000
deer,919,1000,91.9000
dog,877,1000,87.7000
frog,934,1000,93.4000
horse,908,1000,90.8000
ship,950,1000,95.0000
truck,940,1000,94.0000
