epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.333642005051507,50.92444444444445,1.0417800971984863,63.16,0.001
2,0.9183514358202617,67.41333333333333,0.9159426411628723,67.82,0.0009972609476841367
3,0.7486482188012865,74.02444444444444,1.1585444893836976,63.86,0.0009890738003669028
4,0.6591437878608704,77.64,0.6770329041481018,76.38,0.0009755282581475768
5,0.594887524678972,79.50222222222222,0.6687309000968933,76.62,0.0009567727288213003
6,0.5449961213323805,81.52888888888889,0.6720485312461854,76.78,0.0009330127018922195
7,0.5077590188556247,82.54666666666667,0.4914643345236778,82.68,0.0009045084971874739
8,0.46863997303644817,84.00222222222222,0.5851627150207758,80.38,0.0008715724127386972
9,0.44323784499698216,84.89111111111112,0.5655698242664338,80.76,0.0008345653031794292
10,0.4159712519221836,85.83333333333333,0.4704366274356842,84.28,0.0007938926261462366
11,0.38857867591116163,86.78222222222222,0.5013809525489807,83.0,0.00075
12,0.3684576764795515,87.56,0.49582460374832155,83.64,0.0007033683215379003
13,0.3380523869832357,88.5911111111111,0.4671203552007675,84.24,0.0006545084971874739
14,0.3168171703285641,89.18666666666667,0.44076479222774506,85.48,0.0006039558454088797
15,0.29661661522918276,89.82,0.3933848496437073,86.82,0.0005522642316338269
16,0.27702183543841047,90.55777777777777,0.3489026835799217,88.06,0.0005000000000000002
17,0.2553115300575892,91.34222222222222,0.34640660088062286,88.24,0.0004477357683661734
18,0.2314089819378323,92.16888888888889,0.3382095369577408,88.82,0.00039604415459112036
19,0.21486418744193184,92.54222222222222,0.3426172057390213,88.6,0.0003454915028125264
20,0.19355536273055607,93.50222222222222,0.3355739399909973,88.86,0.0002966316784621
21,0.1755946091387007,94.11777777777777,0.3499895281612873,88.78,0.00025000000000000017
22,0.1589938219944636,94.7688888888889,0.3335842492043972,89.16,0.00020610737385376354
23,0.1405456469933192,95.35111111111111,0.30088088598251345,90.48,0.00016543469682057108
24,0.12468549212879605,95.94222222222223,0.2952623717546463,90.8,0.00012842758726130298
25,0.1121903946240743,96.32,0.29151266614198684,91.04,9.549150281252637e-05
26,0.09967846898502773,96.80444444444444,0.2902765506267548,90.78,6.698729810778068e-05
27,0.09468828558391995,97.14444444444445,0.2829657525062561,91.3,4.322727117869953e-05
28,0.08656068876849281,97.36222222222223,0.2807293914616108,91.16,2.447174185242324e-05
29,0.08405740072727204,97.46888888888888,0.2785762632966042,91.46,1.092619963309716e-05
30,0.08068695179488924,97.69333333333333,0.2802134686589241,91.42,2.7390523158633003e-06
