epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.903723322974311,48.78666666666667,0.6538104883193969,61.04,0.001
2,0.5928771700117323,64.27333333333333,0.8197204533100129,56.04,0.0009972609476841367
3,0.48061393666797214,70.50666666666666,1.1288342615127565,49.5,0.0009890738003669028
4,0.415499831755956,73.97111111111111,0.4518913988590241,72.14,0.0009755282581475768
5,0.36815742331610785,76.79333333333334,0.4449226359844208,71.84,0.0009567727288213003
6,0.3375129182656606,78.90222222222222,0.46698147478103635,72.82,0.0009330127018922195
7,0.3102375885830985,80.09777777777778,0.35766498835086824,76.64,0.0009045084971874739
8,0.2852002976576487,81.43111111111111,0.3962796608448029,75.78,0.0008715724127386972
9,0.268108204931683,82.52666666666667,0.34675575909614564,77.8,0.0008345653031794292
10,0.24842704621156056,83.58,0.31715433673858645,80.0,0.0007938926261462366
11,0.23296165329880184,84.45777777777778,0.3087245658874512,79.04,0.00075
12,0.2156226709630754,85.42,0.3075908948659897,81.8,0.0007033683215379003
13,0.20119724343617756,86.24,0.2724514246940613,83.48,0.0006545084971874739
14,0.1878814727332857,87.19111111111111,0.2449023941397667,84.16,0.0006039558454088797
15,0.1719987213903003,87.99333333333334,0.2453053662955761,83.52,0.0005522642316338269
16,0.16120326499409146,88.51333333333334,0.19621899629831313,86.76,0.0005000000000000002
17,0.14666905303531222,89.42888888888889,0.19440669174194336,86.42,0.0004477357683661734
18,0.13361423848205142,90.28444444444445,0.20576669107079507,85.9,0.00039604415459112036
19,0.11882215915653441,91.12666666666667,0.17711135334670544,88.42,0.0003454915028125264
20,0.10876300639443927,91.58888888888889,0.18340001318305732,87.78,0.0002966316784621
21,0.09634705093238088,92.56888888888889,0.1595990522608161,89.3,0.00025000000000000017
22,0.08427544502152337,93.34444444444445,0.16908580435812473,88.74,0.00020610737385376354
23,0.07425377887884776,94.02888888888889,0.15837537407428026,89.22,0.00016543469682057108
24,0.06413278371095657,94.84444444444445,0.15731662131324411,89.42,0.00012842758726130298
25,0.05629097031089995,95.37333333333333,0.1475231681704521,89.84,9.549150281252637e-05
26,0.050548978554540214,95.77555555555556,0.15294459785670042,89.96,6.698729810778068e-05
27,0.04639488983551661,96.07777777777778,0.14740381272509695,90.12,4.322727117869953e-05
28,0.042647879411114586,96.38222222222223,0.1457772579073906,90.5,2.447174185242324e-05
29,0.03959063307444254,96.63555555555556,0.14450681673586369,90.42,1.092619963309716e-05
30,0.03941401014096207,96.62222222222222,0.14551322946846484,90.42,2.7390523158633003e-06
