class,correct,total,accuracy_percent
airplane,913,1000,91.3000
automobile,944,1000,94.4000
bird,871,1000,87.1000
cat,804,1000,80.4000
deer,898,1000,89.8000
dog,836,1000,83.6000
frog,935,1000,93.5000
horse,932,1000,93.2000
ship,935,1000,93.5000
truck,927,1000,92.7000
